Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp,Marker,Label
156201,1.58,1.64,10,-0.34,0.24,-0.06,32.35,DATA,0
156324,1.65,1.53,9.74,-0.19,0.06,-0.03,32.34,DATA,0
156449,1.35,1.43,9.86,-0.12,-0.12,-0.04,32.34,DATA,0
156573,1.42,1.49,9.11,-0.03,-0.11,-0.09,32.33,DATA,0
156697,1.43,1.5,9.47,-0.03,0.04,-0.02,32.33,DATA,0
156818,0,0,0,0,0,0,0,END,0
157977,0,0,0,0,0,0,0,START,0
158094,1.22,1.1,10.82,0.08,-0.22,-0.02,32.33,DATA,0
158195,1.07,1.38,9.13,0.28,-0.09,-0.1,32.33,DATA,0
158319,1.13,1.47,9.51,0.35,-0.03,0.09,32.33,DATA,0
158442,0.84,2.28,9.41,0.48,-0.03,0.03,32.35,DATA,0
163561,1.41,1.31,9.29,-0.08,-0.03,-0.02,32.33,DATA,0
163665,1.36,1.21,9.65,-0.06,-0.02,-0.01,32.35,DATA,0
163803,1.34,1.29,9.41,-0.04,0,-0.01,32.36,DATA,0
163927,1.3,1.21,9.36,-0.05,0.01,-0.02,32.38,DATA,0
164049,1.34,1.27,9.2,-0.02,-0.02,-0.01,32.35,DATA,0
164167,0,0,0,0,0,0,0,END,0
165199,0,0,0,0,0,0,0,START,0
165339,2.54,0.18,10.59,-0.19,0.09,-0.03,32.37,DATA,0
165429,1.56,0.43,10.13,0,-0.51,0.06,32.37,DATA,0
165585,1.76,0.1,9.68,0.08,-0.2,0.03,32.37,DATA,0
165708,1.71,0.38,9.15,0.06,-0.02,0,32.37,DATA,0
165833,2.43,0.63,9.52,0.03,0.18,-0.04,32.37,DATA,0
165954,2.22,0.33,9.64,0.11,-0.06,-0.06,32.37,DATA,0
166076,2.02,0.58,9.29,0.09,-0.17,-0.17,32.35,DATA,0
166200,2.11,0.84,9.49,0.18,-0.06,-0.15,32.37,DATA,0
166324,2.08,1.11,9.42,0.2,-0.14,0.01,32.35,DATA,0
166450,2.23,1.36,9.52,0.17,-0.03,-0.07,32.37,DATA,0
166573,2.56,1.62,9.25,0.32,-0.08,-0.08,32.35,DATA,0
166698,2.12,2.39,8.64,0.31,-0.12,-0.08,32.38,DATA,0
166821,2.61,2.65,8.83,0.14,-0.26,-0.06,32.36,DATA,0
166946,2.46,2.52,8.11,0.04,0.03,-0.09,32.37,DATA,0
167069,2.51,2.93,8.23,-0.08,-0.08,0.01,32.36,DATA,0
167192,2.75,2.85,8.5,-0.15,0.09,0.03,32.37,DATA,0
167318,2.53,2.55,8.65,-0.21,0.17,0.04,32.36,DATA,0
167441,2.54,2.18,8.74,-0.26,0.24,0.05,32.37,DATA,0
167565,2.51,1.8,9.33,-0.24,0.21,0.02,32.37,DATA,0
167685,1.91,1.88,9,-0.25,0.24,-0.04,32.37,DATA,0
167808,2.1,1.35,9.36,-0.28,0.22,-0.01,32.36,DATA,0
167931,1.82,1.25,9.25,-0.29,0.12,0.01,32.39,DATA,0
168058,1.5,0.68,9.26,-0.3,0.06,0.02,32.37,DATA,0
168180,2.13,0.74,9.78,-0.3,-0.39,0.07,32.38,DATA,0
168305,1.64,0.01,9.95,-0.2,0.22,-0.01,32.38,DATA,0
168433,1.54,0.03,9.6,-0.23,0.01,0,32.37,DATA,0
168552,1.68,-0.28,9.87,-0.16,-0.11,-0.03,32.38,DATA,0
168699,1.45,-0.21,9.17,-0.07,-0.19,-0.05,32.38,DATA,0
168795,0,0,0,0,0,0,0,END,0
169855,0,0,0,0,0,0,0,START,0
169987,2.48,-0.21,10.27,-0.08,0.06,-0.09,32.38,DATA,0
170073,1.95,-0.2,9.66,-0.09,-0.02,-0.06,32.39,DATA,0
170196,2.4,-0.23,13.12,0.22,-0.02,0.14,32.38,DATA,0
170318,0.8,-0.81,10.93,1.93,0.17,-0.21,32.38,DATA,0
170446,1.55,2.59,6.15,2.6,0.07,-0.2,32.39,DATA,0
170707,2.9,6.48,5.44,1.2,0.16,-0.43,32.4,DATA,0
170817,1.33,9.11,2.81,0.89,0.45,-0.25,32.37,DATA,0
170940,1.52,9.54,1.22,-0.68,0.2,0.13,32.37,DATA,0
171066,1.58,6.84,4.43,-1.68,-0.03,0.38,32.37,DATA,0
171202,1.99,4.58,7.41,-2.02,0.03,0.33,32.38,DATA,0
171311,2.89,2.74,8.42,-2.26,1.42,0.4,32.36,DATA,0
171433,0.65,0.9,11.03,-1.27,-0.75,0.05,32.38,DATA,0
171557,1.51,-0.18,10.93,-0.55,-0.28,-0.12,32.4,DATA,0
171675,0,0,0,0,0,0,0,END,0
172275,0,0,0,0,0,0,0,START,0
172412,3.07,-0.2,12.56,0.35,0.31,-0.1,32.36,DATA,0
172667,3.69,3.05,7.65,2.19,-0.78,-0.38,32.35,DATA,0
172804,3.09,6.46,4.73,1.72,0.12,-0.32,32.35,DATA,0
172934,2.22,7.31,4.24,1.03,0.44,-0.33,32.36,DATA,0
173399,1.34,10.32,1.74,-0.21,0,-0.15,32.37,DATA,0
173487,0.73,9.93,2.46,-0.62,-0.06,0.09,32.36,DATA,0
176204,2.4,5.16,5.88,-1.9,0.23,0.13,32.33,DATA,0
176328,1.69,2.42,8.41,-1.76,0.37,-0.2,32.36,DATA,0
176452,1.84,1.2,9.9,-1.17,0.03,-0.18,32.34,DATA,0
176573,2.07,0.85,10.1,-0.7,-0.58,-0.03,32.37,DATA,0
176697,0.73,0.57,10.63,-0.41,-0.02,-0.05,32.36,DATA,0
176821,0.78,0.44,9.74,-0.14,0.02,-0.06,32.34,DATA,0
176941,0,0,0,0,0,0,0,END,0
172275,0,0,0,0,0,0,0,START,0
172412,3.07,-0.2,12.56,0.35,0.31,-0.1,32.36,DATA,0
172667,3.69,3.05,7.65,2.19,-0.78,-0.38,32.35,DATA,0
172804,3.09,6.46,4.73,1.72,0.12,-0.32,32.35,DATA,0
172934,2.22,7.31,4.24,1.03,0.44,-0.33,32.36,DATA,0
173399,1.34,10.32,1.74,-0.21,0,-0.15,32.37,DATA,0
173487,0.73,9.93,2.46,-0.62,-0.06,0.09,32.36,DATA,0
176204,2.4,5.16,5.88,-1.9,0.23,0.13,32.33,DATA,0
176328,1.69,2.42,8.41,-1.76,0.37,-0.2,32.36,DATA,0
176452,1.84,1.2,9.9,-1.17,0.03,-0.18,32.34,DATA,0
176573,2.07,0.85,10.1,-0.7,-0.58,-0.03,32.37,DATA,0
176697,0.73,0.57,10.63,-0.41,-0.02,-0.05,32.36,DATA,0
176821,0.78,0.44,9.74,-0.14,0.02,-0.06,32.34,DATA,0
176941,0,0,0,0,0,0,0,END,0
165199,0,0,0,0,0,0,0,START,0
165339,2.54,0.18,10.59,-0.19,0.09,-0.03,32.37,DATA,0
165429,1.56,0.43,10.13,0,-0.51,0.06,32.37,DATA,0
165585,1.76,0.1,9.68,0.08,-0.2,0.03,32.37,DATA,0
165708,1.71,0.38,9.15,0.06,-0.02,0,32.37,DATA,0
165833,2.43,0.63,9.52,0.03,0.18,-0.04,32.37,DATA,0
165954,2.22,0.33,9.64,0.11,-0.06,-0.06,32.37,DATA,0
166076,2.02,0.58,9.29,0.09,-0.17,-0.17,32.35,DATA,0
166200,2.11,0.84,9.49,0.18,-0.06,-0.15,32.37,DATA,0
166324,2.08,1.11,9.42,0.2,-0.14,0.01,32.35,DATA,0
166450,2.23,1.36,9.52,0.17,-0.03,-0.07,32.37,DATA,0
166573,2.56,1.62,9.25,0.32,-0.08,-0.08,32.35,DATA,0
166698,2.12,2.39,8.64,0.31,-0.12,-0.08,32.38,DATA,0
166821,2.61,2.65,8.83,0.14,-0.26,-0.06,32.36,DATA,0
166946,2.46,2.52,8.11,0.04,0.03,-0.09,32.37,DATA,0
167069,2.51,2.93,8.23,-0.08,-0.08,0.01,32.36,DATA,0
167192,2.75,2.85,8.5,-0.15,0.09,0.03,32.37,DATA,0
167318,2.53,2.55,8.65,-0.21,0.17,0.04,32.36,DATA,0
167441,2.54,2.18,8.74,-0.26,0.24,0.05,32.37,DATA,0
167565,2.51,1.8,9.33,-0.24,0.21,0.02,32.37,DATA,0
167685,1.91,1.88,9,-0.25,0.24,-0.04,32.37,DATA,0
167808,2.1,1.35,9.36,-0.28,0.22,-0.01,32.36,DATA,0
167931,1.82,1.25,9.25,-0.29,0.12,0.01,32.39,DATA,0
168058,1.5,0.68,9.26,-0.3,0.06,0.02,32.37,DATA,0
168180,2.13,0.74,9.78,-0.3,-0.39,0.07,32.38,DATA,0
168305,1.64,0.01,9.95,-0.2,0.22,-0.01,32.38,DATA,0
168433,1.54,0.03,9.6,-0.23,0.01,0,32.37,DATA,0
168552,1.68,-0.28,9.87,-0.16,-0.11,-0.03,32.38,DATA,0
168699,1.45,-0.21,9.17,-0.07,-0.19,-0.05,32.38,DATA,0
168795,0,0,0,0,0,0,0,END,0
83326,0,0,0,0,0,0,0,START,0
83523,1.66,-0.02,9.83,-0.03,-0.15,-0.08,32.16,DATA,0
83667,2.33,0.16,9,-0.1,0.01,-0.04,32.16,DATA,0
83791,2.24,-0.1,9.85,-0.13,-0.03,-0.03,32.14,DATA,0
83915,2.37,-0.32,10.36,0.18,0.03,0.05,32.16,DATA,0
84039,2.15,0.13,10.02,0.35,-0.08,-0.03,32.14,DATA,0
84166,2.51,0.73,9.53,0.54,0.1,0.01,32.14,DATA,0
84286,2.22,1.41,9.59,0.65,0.05,0,32.16,DATA,0
84409,2.4,2.3,8.88,0.66,0.06,-0.06,32.15,DATA,0
84532,2.11,3.16,8.39,0.53,0.1,-0.07,32.15,DATA,0
84655,1.97,3.65,8.54,0.49,-0.01,-0.07,32.17,DATA,0
84779,2.03,4.12,8.47,0.52,0.07,-0.02,32.15,DATA,0
84905,1.92,4.91,8.13,0.51,0.08,0.05,32.17,DATA,0
85029,1.89,5.4,7.58,0.48,0.11,-0.02,32.15,DATA,0
85153,1.82,5.86,7.09,0.42,0.14,-0.01,32.16,DATA,0
85276,1.49,6.36,7.01,0.37,0.16,-0.01,32.19,DATA,0
85578,1.48,7.04,6.19,0.18,0.06,0,32.16,DATA,0
85663,1.55,7.25,5.83,0.06,-0.03,0.02,32.18,DATA,0
85786,1.75,7.07,6.14,-0.05,0.03,-0.02,32.16,DATA,0
85910,1.51,7.11,6.19,-0.02,0.02,-0.05,32.18,DATA,0
86035,1.51,7.19,6,-0.12,0.02,-0.01,32.18,DATA,0
86159,1.69,6.8,6.09,-0.37,0.16,-0.07,32.16,DATA,0
86283,1.17,6.71,6.47,-0.38,0.11,-0.04,32.16,DATA,0
86407,0.98,6.35,6.89,-0.6,-0.15,-0.06,32.19,DATA,0
86530,1.78,5.43,7.26,-0.66,-0.05,0.01,32.16,DATA,0
86655,1.71,4.76,7.98,-0.56,0.02,-0.11,32.17,DATA,0
86781,1.12,4.53,8.42,-0.64,-0.06,-0.04,32.17,DATA,0
86904,1.59,4.23,8.53,-0.6,0.01,-0.09,32.17,DATA,0
87026,1.83,3.14,8.98,-0.58,-0.14,0.01,32.18,DATA,0
87148,1.49,2.41,9.4,-0.44,0.03,-0.12,32.18,DATA,0
87272,1.48,2.32,9.14,-0.45,-0.05,-0.04,32.17,DATA,0
92392,2.1,0.03,9.48,-0.03,-0.01,-0.02,32.21,DATA,0
92489,2.17,0.03,9.44,-0.05,0.01,-0.03,32.22,DATA,0
92612,2.11,0.04,9.57,-0.04,0,-0.03,32.21,DATA,0
92736,2.12,0.04,9.44,-0.03,0.02,-0.01,32.23,DATA,0
92857,0,0,0,0,0,0,0,END,0
95803,0,0,0,0,0,0,0,START,0
95958,3.03,1.16,10.34,0.08,0.23,-0.06,32.26,DATA,0
96072,2.58,1.66,9.82,0.57,-0.03,0,32.26,DATA,0
96197,2.44,2.28,9,0.75,0.09,-0.02,32.24,DATA,0
